source,target,type
8406720,50073142,Undirected
8277762,26731123,Undirected
8277762,2963811,Undirected
8910947,46273961,Undirected
15478153,49967773,Undirected
18256460,2046188,Undirected
17744328,3406936,Undirected
17925306,27982218,Undirected
17925306,5685147,Undirected
17925306,28679156,Undirected
17925306,36538624,Undirected
17417485,26730771,Undirected
22098582,44757128,Undirected
22098582,45483445,Undirected
22098582,37984175,Undirected
22098582,3137645,Undirected
22031011,2899885,Undirected
22057821,26730771,Undirected
22057821,49931824,Undirected
24133565,26114336,Undirected
24133565,27851364,Undirected
24133565,32111200,Undirected
24133565,61733608,Undirected
24133565,49896844,Undirected
24348163,29378583,Undirected
24348163,48548443,Undirected
24348163,49867985,Undirected
24348163,49783220,Undirected
24679343,61733608,Undirected
23733398,52476419,Undirected
23734496,32486569,Undirected
24077717,45513470,Undirected
24077717,3939570,Undirected
10565337,44628932,Undirected
10565337,37415601,Undirected
10561504,45302771,Undirected
10610623,4453807,Undirected
10610623,3370569,Undirected
10848785,5685147,Undirected
13889028,27989284,Undirected
13889028,30604219,Undirected
13889028,6063374,Undirected
13889028,45302771,Undirected
13398394,24905245,Undirected
13398394,28679156,Undirected
13398394,48548443,Undirected
13398394,50076902,Undirected
13374932,2046188,Undirected
36052916,6063374,Undirected
36087188,34162327,Undirected
35711036,7562624,Undirected
35711036,49915966,Undirected
35886899,32686082,Undirected
35614902,45239625,Undirected
23571990,49853610,Undirected
46731329,3939570,Undirected
14380338,27482326,Undirected
14380338,45681822,Undirected
14380338,45302771,Undirected
14380338,29667099,Undirected
14380338,49936891,Undirected
14909073,31141007,Undirected
14909073,30887944,Undirected
3410049,12060503,Undirected
3382910,45465510,Undirected
3382910,50073142,Undirected
42718219,49610204,Undirected
42681532,48548443,Undirected
42267586,47235222,Undirected
42467474,45185435,Undirected
42467474,45064721,Undirected
42415236,7891048,Undirected
42628792,31141007,Undirected
42628792,30887944,Undirected
42628792,32435362,Undirected
42628792,50023378,Undirected
42889284,49682934,Undirected
42682723,47130158,Undirected
42583689,49610204,Undirected
42583689,49875076,Undirected
43018548,3137645,Undirected
43099308,45036233,Undirected
43099308,3137645,Undirected
43909180,32486569,Undirected
43937724,26045599,Undirected
43627513,37444146,Undirected
43627513,48588521,Undirected
43627513,49783220,Undirected
43913625,45252134,Undirected
43913625,49875076,Undirected
44002779,46273961,Undirected
43177508,49858181,Undirected
43915345,45185435,Undirected
43915345,37180945,Undirected
43915345,49736680,Undirected
43386227,26730771,Undirected
43921020,30604219,Undirected
43921020,2046282,Undirected
43921020,45205471,Undirected
43921020,45513470,Undirected
28272617,45302771,Undirected
39832081,12385024,Undirected
39832081,6038504,Undirected
39832081,6829107,Undirected
39832081,3939570,Undirected
39832081,3804927,Undirected
40669237,45445346,Undirected
41560566,45036233,Undirected
41560566,45205235,Undirected
41560566,45064721,Undirected
41560566,49850993,Undirected
41560566,49967773,Undirected
41560566,49875076,Undirected
41098624,49610204,Undirected
41098624,49829307,Undirected
41195194,12060503,Undirected
41195194,32435362,Undirected
41195194,6038504,Undirected
41195194,49595649,Undirected
41720414,45088562,Undirected
41720414,45064721,Undirected
5168560,45094706,Undirected
63001375,34162327,Undirected
8723952,2659808,Undirected
8750755,45275418,Undirected
8750755,45681822,Undirected
11906311,43400871,Undirected
11906311,43397075,Undirected
11906311,43397042,Undirected
11998042,21028302,Undirected
11998042,22181826,Undirected
12664412,43399274,Undirected
12664412,43395793,Undirected
11981369,38639826,Undirected
11981369,43397748,Undirected
12351536,43396576,Undirected
12161420,24496037,Undirected
27180573,10721038,Undirected
26690818,56142961,Undirected
26690818,43006265,Undirected
26316927,10715189,Undirected
26316927,43226690,Undirected
28115414,41263337,Undirected
28123767,35493409,Undirected
28094532,43399274,Undirected
28094532,22209354,Undirected
27592091,43457473,Undirected
31187363,56142961,Undirected
31187363,21103702,Undirected
31195666,43611558,Undirected
31339310,41575222,Undirected
30546786,35638553,Undirected
35322374,19472742,Undirected
36786772,43399206,Undirected
288167,10034681,Undirected
288167,22027867,Undirected
288167,10714912,Undirected
288167,43006265,Undirected
233413,14110744,Undirected
159493,38639826,Undirected
177056,20352419,Undirected
177056,8279082,Undirected
351479,10034681,Undirected
440526,43400782,Undirected
440526,43396420,Undirected
361973,22181826,Undirected
361973,22197894,Undirected
433623,43392142,Undirected
477840,17825020,Undirected
477840,10952913,Undirected
408697,10715189,Undirected
408697,15190345,Undirected
431302,10952913,Undirected
363163,9688010,Undirected
363163,43303232,Undirected
7354003,21103702,Undirected
7354003,18309817,Undirected
8016517,21103702,Undirected
8016517,22027867,Undirected
7485563,43397704,Undirected
7487937,24496037,Undirected
7487937,43006265,Undirected
7346154,18498743,Undirected
7346154,42903486,Undirected
31979158,41263337,Undirected
31921925,41263337,Undirected
32268726,43006265,Undirected
32523940,43457473,Undirected
32235608,35493409,Undirected
32646734,38611337,Undirected
31560001,43006265,Undirected
32083607,10721038,Undirected
32083607,39831757,Undirected
31922056,43395793,Undirected
31922056,43396327,Undirected
31922056,43611558,Undirected
31922056,43751589,Undirected
32792246,43434856,Undirected
33209053,43396480,Undirected
33308385,43396420,Undirected
33308385,43395896,Undirected
33308385,43397727,Undirected
35209680,20352419,Undirected
35209680,35493409,Undirected
35209680,43223141,Undirected
35383771,19472742,Undirected
34309067,43006265,Undirected
34245143,43397042,Undirected
34949740,43223141,Undirected
34030741,50664014,Undirected
34683464,50664014,Undirected
34685646,35493409,Undirected
34823197,35493409,Undirected
12795632,39831757,Undirected
26045918,24496037,Undirected
26045918,10714912,Undirected
665102,41391510,Undirected
1303663,21068023,Undirected
1991791,35493409,Undirected
1991791,41575222,Undirected
2006063,38611337,Undirected
1992812,38104346,Undirected
1991999,21103702,Undirected
1928290,43611558,Undirected
1991524,10715560,Undirected
1991524,43397075,Undirected
1863889,22325348,Undirected
1819808,22197894,Undirected
1826859,10714912,Undirected
1826859,41575222,Undirected
1859066,21068023,Undirected
1992576,15190345,Undirected
34244707,43611558,Undirected
5107622,43223141,Undirected
5166365,20352419,Undirected
4756526,43484248,Undirected
4841686,22209354,Undirected
5108224,10714912,Undirected
5149245,41575222,Undirected
4886969,9606396,Undirected
4886969,8279082,Undirected
4678461,22197894,Undirected
5091964,35638553,Undirected
5348566,22027867,Undirected
4966922,14110744,Undirected
4869561,10721038,Undirected
26046396,21068023,Undirected
25438559,20352419,Undirected
25438559,43751589,Undirected
26046237,56142961,Undirected
26046237,43434856,Undirected
25219119,10952913,Undirected
25473789,43396309,Undirected
25790317,17825020,Undirected
24869732,50664014,Undirected
24869732,41575222,Undirected
25569589,43303232,Undirected
47476437,43399274,Undirected
47476437,43392142,Undirected
47135421,22325348,Undirected
47539590,21068023,Undirected
47539590,43396480,Undirected
46871792,43611558,Undirected
47782283,9606396,Undirected
47425717,41263337,Undirected
47161676,43611558,Undirected
47518742,43395599,Undirected
88779,10096749,Undirected
1384668,9688010,Undirected
1659117,43397042,Undirected
1559596,21028302,Undirected
5688638,10715560,Undirected
6000604,19472742,Undirected
